"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","23,904.63","18,894.18","5,010.45","20.96%","2.82","8,466.75","29"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","15,503.49","12,720.47","2,783.02","17.95%","2.57","6,029.72","8"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","9,676.30","7,340.95","2,335.35","24.13%","2.87","3,371.96","16"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","8,842.04","7,513.43","1,328.61","15.03%","5.79","1,527.12","2"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","8,305.20","6,483.46","1,821.74","21.93%","2.71","3,060.27","16"
"KITUWAH MANUFACTURING LLC","RESPONSIVE INDUSTRIES","8,156.81","6,599.22","1,557.59","19.10%","1.99","4,098.90","7"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","6,557.02","4,433.27","2,123.75","32.39%","3.23","2,029.34","14"
"J W SQUIRE CO","SUREPLY AND REVOLUTIONS","6,520.00","5,414.40","1,105.60","16.96%","16.30","400.00","4"
"FLOORED LLC","MANN. ADURA LUXURY TILE","5,155.47","3,804.52","1,350.95","26.20%","3.34","1,542.36","10"
"SPENCER HOME CENTER INC","MANN. ADURA LUXURY TILE","4,662.79","3,791.44","871.35","18.69%","2.97","1,569.76","5"
"PETER SANDFORT LLC","BJELIN","4,165.63","2,923.47","1,242.16","29.82%","3.75","1,110.60","4"
"BLUE RIDGE FLOORS INC","SOMERSET WOOD","3,992.80","3,158.00","834.80","20.91%","5.54","721.00","2"
"WHITT CPT & TILE","MANN. ADURA LUXURY TILE","3,872.01","3,095.51","776.50","20.05%","3.25","1,190.00","4"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","3,739.18","3,062.10","677.08","18.11%","2.92","1,279.28","4"
"S.J. NEATHAWK LBR CO INC","SUREPLY AND REVOLUTIONS","3,705.00","2,982.00","723.00","19.51%","24.70","150.00","3"
"CENTRAL VA FLOORING","PAD CARPENTER COMPANY","3,502.80","2,452.80","1,050.00","29.98%","2.65","1,320.00","3"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","3,473.19","2,604.61","868.58","25.01%","2.22","1,567.99","6"
"THE FLOOR SHOW INC","SOMERSET WOOD","3,353.00","2,695.00","658.00","19.62%","4.79","700.00","1"
"BLUE RIDGE FLOORS INC","MANN. ADURA LUXURY TILE","3,297.61","2,584.79","712.82","21.62%","3.48","948.35","8"
"S.J. NEATHAWK LBR CO INC","SOMERSET WOOD","2,993.75","2,291.25","702.50","23.47%","4.79","625.00","2"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","2,831.38","2,227.07","604.31","21.34%","2.89","978.76","7"
"ROANOKE RIVER WHSALE INC","MANNINGTON ON MAIN","2,534.35","2,025.45","508.90","20.08%","2.49","1,017.81","2"
"THE FLOOR SHOW INC","MANN. ADURA LUXURY TILE","2,398.66","1,948.78","449.88","18.76%","2.45","979.10","4"
"CAVALIER CARPETS INC","MANN. ADURA LUXURY TILE","2,272.09","1,110.87","1,161.22","51.11%","3.06","742.53","2"
"THE WHITT GROUP, INC","PAD CARPENTER COMPANY","1,931.40","1,378.80","552.60","28.61%","1.89","1,020.00","7"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","1,898.74","1,403.15","495.59","26.10%","2.65","715.82","6"
"CENTRAL VA FLOORING","MANN. RESIDENTIAL VINYL","1,693.22","1,089.45","603.77","35.66%","7.53","225.00","3"
"CARPET VILLAGE","PAD CARPENTER COMPANY","1,515.00","1,200.00","315.00","20.79%","1.68","900.00","2"
"CARPETLAND USA OF","MANN. RESIDENTIAL VINYL","1,462.81","1,114.00","348.81","23.85%","2.95","496.00","3"
"SPENCER HOME CENTER INC","SOMERSET WOOD","1,459.25","1,153.75","305.50","20.94%","4.49","325.00","1"
"ELP PROP","MANN. ADURA LUXURY TILE","1,430.97","1,150.16","280.81","19.62%","2.47","578.75","5"
"S.J. NEATHAWK LBR CO INC","DIVERSIFIED INDUSTRIES","1,343.52","1,041.60","301.92","22.47%","27.99","48.00","4"
"BLUE RIDGE FLOORS INC","PAD FUTURE FOAM","1,208.70","796.20","412.50","34.13%","2.69","450.00","4"
"B & B MACHINE TOOL INC","MANN. ADURA LUXURY TILE","954.06","693.06","261.00","27.36%","4.63","206.28","4"
"S.J. NEATHAWK LBR CO INC","MANN. ADURA LUXURY TILE","927.23","737.88","189.35","20.42%","2.57","361.00","2"
"FARMVILLE FLOORING LLC","MANN. RESIDENTIAL VINYL","923.04","526.14","396.90","43.00%","153.84","6.00","1"
"CARPET PLUS","MANN. ADURA LUXURY TILE","905.97","699.04","206.93","22.84%","3.59","252.36","1"
"SPENCER HOME CENTER INC","RESPONSIVE INDUSTRIES","888.57","649.16","239.41","26.94%","2.32","382.36","2"
"1 UNITED CONTRACTING INC","MANN. ADURA LUXURY TILE","839.28","655.20","184.08","21.93%","2.69","312.00","2"
"FLOORED LLC","NORTH STAR FLOORING","805.25","542.84","262.41","32.59%","2.73","295.36","5"
"B & H FLOORS LLC","PAD CARPENTER COMPANY","777.00","522.00","255.00","32.82%","2.59","300.00","1"
"BLUE RIDGE FLOORS INC","DIVERSIFIED INDUSTRIES","647.78","477.40","170.38","26.30%","29.44","22.00","3"
"CARPETLAND USA OF ROANOKE","RESPONSIVE INDUSTRIES","583.89","413.82","170.07","29.13%","3.09","188.96","1"
"S.J. NEATHAWK LBR CO INC","MANN. RESIDENTIAL VINYL","543.83","381.05","162.78","29.93%","3.16","172.00","2"
"DESIGNER SOLUTIONS INC","LAUZON WOOD","532.08","319.24","212.84","40.00%","133.02","4.00","1"
"FARMVILLE FLOORING LLC","PAD CARPENTER COMPANY","517.50","408.00","109.50","21.16%","1.73","300.00","2"
"CENTRAL VA FLOORING","BURKE-MERCER","474.00","354.00","120.00","25.32%","0.79","600.00","1"
"SPENCER HOME CENTER INC","MANN. LAMINATE FLOORING","439.19","360.69","78.50","17.87%","2.35","186.89","1"
"CENTRAL VA FLOORING","DIVERSIFIED INDUSTRIES","419.85","325.50","94.35","22.47%","27.99","15.00","2"
"THE CEILING & FLOOR SHOP","MANN. ADURA LUXURY TILE","412.20","338.40","73.80","17.90%","2.29","180.00","2"
"BY DESIGN INTERIORS LLC","DIVERSIFIED INDUSTRIES","365.88","285.00","80.88","22.11%","30.49","12.00","1"
"WHITT CPT & TILE","DIVERSIFIED INDUSTRIES","351.89","238.70","113.19","32.17%","31.99","11.00","2"
"FLOORED LLC","MANN. RESIDENTIAL VINYL","301.01","229.96","71.05","23.60%","1.61","186.96","2"
"FARMVILLE FLOORING LLC","PAD FUTURE FOAM","283.50","187.50","96.00","33.86%","1.89","150.00","1"
"CAVALIER CARPETS INC","PAD CARPENTER COMPANY","277.50","222.00","55.50","20.00%","1.85","150.00","1"
"J W SQUIRE CO","PAD CARPENTER COMPANY","268.80","208.80","60.00","22.32%","2.24","120.00","1"
"MANNINGTON MILLS INC.","MANN. RESIDENTIAL VINYL","250.45","209.92","40.53","16.18%","5.87","42.67","1"
"FALLETTA ENTERPRISES","MANN. ADURA LUXURY TILE","208.08","84.96","123.12","59.17%","2.89","72.00","1"
"CARPETLAND USA-RKE SOUTH","MANN. RESIDENTIAL VINYL","174.71","128.69","46.02","26.34%","2.06","85.00","2"
"THE FLOOR SHOW INC","MANN. RESIDENTIAL VINYL","149.04","114.48","34.56","23.19%","2.07","72.00","1"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","89.90","52.14","37.76","42.00%","44.95","2.00","2"
"WOOD PLUS HARDWOOD FLRG","TITEBOND","77.00","55.65","21.35","27.73%","77.00","1.00","1"
"BY DESIGN INTERIORS LLC","BJELIN","50.86","32.68","18.18","35.75%","50.86","1.00","1"
"FLOOR FASHIONS","BJELIN","-805.96","-577.69","-228.27","0.00%","4.59","-175.59","1"
